# Wavelength (micron)  Signal (photon/sec/pixel)
       2.0507884      0.26838888
       2.0510886      0.26145033
       2.0513890      0.25591084
       2.0516891      0.24715887
       2.0519896      0.24731406
       2.0522900      0.24633392
       2.0525901      0.23403453
       2.0528903      0.24481255
       2.0531907      0.22967419
       2.0534911      0.23732652
       2.0537913      0.22016826
       2.0540917      0.23072376
       2.0543919      0.22039558
       2.0546923      0.23367862
       2.0549924      0.22313494
       2.0552928      0.24488476
       2.0555930      0.22763739
       2.0558934      0.24415756
       2.0561938      0.22062862
       2.0564940      0.23218892
       2.0567944      0.21626740
       2.0570946      0.23790538
       2.0573950      0.22192301
       2.0576952      0.24344177
       2.0579956      0.23705619
       2.0582957      0.26019862
       2.0585961      0.25805531
       2.0588965      0.26686630
       2.0591967      0.27642150
       2.0594971      0.28339698
       2.0597973      0.31126457
       2.0600977      0.31769408
       2.0603979      0.33592302
       2.0606983      0.31991597
       2.0609984      0.28204848
       2.0612988      0.28423216
       2.0615993      0.25669730
       2.0618994      0.26766973
       2.0621996      0.25440735
       2.0625000      0.25102208
       2.0628004      0.25729610
       2.0631006      0.23519255
       2.0634010      0.25930370
       2.0637012      0.22923880
       2.0640016      0.25672728
       2.0643017      0.24201971
       2.0646021      0.24826504
       2.0649023      0.25902136
       2.0652027      0.23400305
       2.0655031      0.26766273
       2.0658033      0.23749820
       2.0661037      0.25875948
       2.0664039      0.24758137
       2.0667043      0.23001273
       2.0670044      0.24334670
       2.0673048      0.20976573
       2.0676050      0.23868969
       2.0679054      0.23053476
       2.0682058      0.24363562
       2.0685060      0.28085921
       2.0688064      0.25996481
       2.0691066      0.29442623
       2.0694070      0.26815764
       2.0697072      0.25542301
       2.0700076      0.27123975
       2.0703077      0.24807127
       2.0706081      0.27921216
       2.0709085      0.27336113
       2.0712087      0.27070833
       2.0715091      0.29306183
       2.0718093      0.26571302
       2.0721097      0.27811190
       2.0724099      0.28450264
       2.0727103      0.26879992
       2.0730104      0.28680711
       2.0733109      0.26388858
       2.0736113      0.26628233
       2.0739114      0.28691514
       2.0742118      0.28363104
       2.0745120      0.30105109
       2.0748124      0.30283724
       2.0751126      0.28262308
       2.0754130      0.29874334
       2.0757132      0.29543401
       2.0760136      0.30344957
       2.0763137      0.32493847
       2.0766141      0.32557987
       2.0769143      0.33253652
       2.0772147      0.34473957
       2.0775151      0.33525292
       2.0778153      0.33828053
       2.0781157      0.34997045
       2.0784159      0.34979868
       2.0787163      0.35964029
       2.0790164      0.36208157
       2.0793169      0.36048378
       2.0796170      0.36645437
       2.0799174      0.36533300
       2.0802178      0.36581810
       2.0805180      0.37095155
       2.0808184      0.36855522
       2.0811186      0.36504394
       2.0814190      0.36272178
       2.0817192      0.35738946
       2.0820196      0.35594285
       2.0823197      0.36031924
       2.0826201      0.36147611
       2.0829206      0.35978591
       2.0832207      0.35485070
       2.0835211      0.34507479
       2.0838213      0.33406679
       2.0841217      0.32892487
       2.0844219      0.33319331
       2.0847223      0.33337009
       2.0850224      0.34181067
       2.0853229      0.34560327
       2.0856233      0.33628707
       2.0859234      0.32992913
       2.0862236      0.32464009
       2.0865240      0.33460699
       2.0868244      0.34550732
       2.0871246      0.35424827
       2.0874250      0.35728834
       2.0877252      0.34171907
       2.0880256      0.33067844
       2.0883257      0.32446645
       2.0886261      0.33026857
       2.0889263      0.34548067
       2.0892267      0.34371503
       2.0895271      0.33487375
       2.0898273      0.31942493
       2.0901277      0.30938300
       2.0904279      0.32224119
       2.0907283      0.33310818
       2.0910285      0.34061396
       2.0913289      0.34578960
       2.0916290      0.34521247
       2.0919294      0.35132920
       2.0922298      0.35171876
       2.0925300      0.34262479
       2.0928304      0.33996251
       2.0931306      0.34249255
       2.0934310      0.34747869
       2.0937312      0.34245783
       2.0940316      0.33382490
       2.0943317      0.33565106
       2.0946321      0.33878927
       2.0949326      0.34496212
       2.0952327      0.35349590
       2.0955329      0.35853519
       2.0958333      0.35980767
       2.0961337      0.35803913
       2.0964339      0.34859157
       2.0967343      0.33288773
       2.0970345      0.32320824
       2.0973349      0.32692196
       2.0976350      0.34274864
       2.0979354      0.35708793
       2.0982356      0.36116767
       2.0985360      0.35125974
       2.0988364      0.34156840
       2.0991366      0.34419445
       2.0994370      0.34016828
       2.0997372      0.33264281
       2.1000376      0.33186239
       2.1003377      0.33390193
       2.1006382      0.33605433
       2.1009383      0.33100204
       2.1012387      0.32372434
       2.1015391      0.31831390
       2.1018393      0.32160306
       2.1021397      0.33921087
       2.1024399      0.34508125
       2.1027403      0.34663376
       2.1030405      0.34697491
       2.1033409      0.34775136
       2.1036410      0.34790117
       2.1039414      0.34793577
       2.1042418      0.34499544
       2.1045420      0.33680132
       2.1048424      0.32558158
       2.1051426      0.31573753
       2.1054430      0.31229567
       2.1057432      0.31794769
       2.1060436      0.33242503
       2.1063437      0.34624025
       2.1066442      0.35220462
       2.1069443      0.35368033
       2.1072447      0.35338744
       2.1075451      0.35253404
       2.1078453      0.35085424
       2.1081457      0.34504142
       2.1084459      0.33765438
       2.1087463      0.33190364
       2.1090465      0.32808386
       2.1093469      0.32245197
       2.1096470      0.31103210
       2.1099474      0.30390567
       2.1102476      0.30798076
       2.1105480      0.31953116
       2.1108484      0.33284340
       2.1111486      0.34188957
       2.1114490      0.34451498
       2.1117492      0.33710672
       2.1120496      0.33619448
       2.1123497      0.33981780
       2.1126502      0.34270815
       2.1129503      0.34812903
       2.1132507      0.34873614
       2.1135511      0.34814367
       2.1138513      0.34654986
       2.1141517      0.34281447
       2.1144519      0.33926384
       2.1147523      0.33624256
       2.1150525      0.33721859
       2.1153529      0.34063593
       2.1156530      0.34413331
       2.1159534      0.34700498
       2.1162539      0.34681491
       2.1165540      0.34702042
       2.1168542      0.34598431
       2.1171546      0.34293843
       2.1174550      0.33924378
       2.1177552      0.33375792
       2.1180556      0.32743406
       2.1183558      0.31589838
       2.1186562      0.30838907
       2.1189563      0.31843058
       2.1192567      0.32323725
       2.1195571      0.32152629
       2.1198573      0.31984908
       2.1201577      0.32401221
       2.1204579      0.33280521
       2.1207583      0.34052630
       2.1210585      0.33874662
       2.1213589      0.33080474
       2.1216593      0.32553121
       2.1219594      0.32440297
       2.1222596      0.32356208
       2.1225600      0.32078645
       2.1228604      0.31981773
       2.1231606      0.32366868
       2.1234610      0.33034930
       2.1237612      0.33518975
       2.1240616      0.33389536
       2.1243618      0.32589333
       2.1246622      0.32385750
       2.1249623      0.33080616
       2.1252627      0.33708287
       2.1255631      0.33953272
       2.1258633      0.33882536
       2.1261637      0.33600491
       2.1264639      0.33402767
       2.1267643      0.33490724
       2.1270645      0.33809708
       2.1273649      0.33782697
       2.1276650      0.32818840
       2.1279655      0.33044733
       2.1282659      0.33929892
       2.1285660      0.33855297
       2.1288662      0.33680187
       2.1291666      0.33643430
       2.1294670      0.33702183
       2.1297672      0.33916620
       2.1300676      0.34207243
       2.1303678      0.34596792
       2.1306682      0.35235223
       2.1309683      0.35958817
       2.1312687      0.36343093
       2.1315689      0.36267975
       2.1318693      0.35919063
       2.1321697      0.35602368
       2.1324699      0.35480279
       2.1327703      0.35489131
       2.1330705      0.35312122
       2.1333709      0.34600396
       2.1336710      0.33490630
       2.1339715      0.32785567
       2.1342716      0.33099395
       2.1345720      0.34069412
       2.1348724      0.34697677
       2.1351726      0.34378456
       2.1354730      0.33486395
       2.1357732      0.32777344
       2.1360736      0.32984494
       2.1363738      0.33707309
       2.1366742      0.34158294
       2.1369743      0.34210313
       2.1372747      0.33699061
       2.1375751      0.32721535
       2.1378753      0.31875547
       2.1381757      0.31507546
       2.1384759      0.31396750
       2.1387763      0.31285579
       2.1390765      0.31303683
       2.1393769      0.31587592
       2.1396770      0.31987234
       2.1399775      0.32416831
       2.1402779      0.32851804
       2.1405780      0.33272974
       2.1408784      0.33679358
       2.1411786      0.34031686
       2.1414790      0.34224179
       2.1417792      0.34267511
       2.1420796      0.34270727
       2.1423798      0.34267051
       2.1426802      0.34216093
       2.1429803      0.34163587
       2.1432807      0.34210677
       2.1435809      0.34240790
       2.1438813      0.34269685
       2.1441817      0.34269993
       2.1444819      0.34226993
       2.1447823      0.34230736
       2.1450825      0.34272540
       2.1453829      0.34275678
       2.1456831      0.34244002
       2.1459835      0.34220269
       2.1462836      0.34226633
       2.1465840      0.34208773
       2.1468844      0.34172772
       2.1471846      0.34103200
       2.1474850      0.34055219
       2.1477852      0.34025001
       2.1480856      0.33917282
       2.1483858      0.33935249
       2.1486862      0.33923473
       2.1489863      0.33835853
       2.1492867      0.33812093
       2.1495872      0.33732758
       2.1498873      0.33603648
       2.1501875      0.33700832
       2.1504879      0.33759533
       2.1507883      0.33688223
       2.1510885      0.33229331
       2.1513889      0.32531747
       2.1516891      0.32670429
       2.1519895      0.33093930
       2.1522896      0.33262972
       2.1525900      0.33212987
       2.1528904      0.33029387
       2.1531906      0.33125931
       2.1534910      0.33232760
       2.1537912      0.33352066
       2.1540916      0.33273533
       2.1543918      0.33203453
       2.1546922      0.33290947
       2.1549926      0.33285491
       2.1552927      0.33266401
       2.1555929      0.33354859
       2.1558933      0.33542248
       2.1561937      0.33595600
       2.1564939      0.33560734
       2.1567943      0.33645153
       2.1570945      0.33689429
       2.1573949      0.33697682
       2.1576951      0.33698055
       2.1579955      0.33667194
       2.1582956      0.33699592
       2.1585960      0.33711907
       2.1588964      0.33312565
       2.1591966      0.33079492
       2.1594970      0.33568937
       2.1597972      0.33554675
       2.1600976      0.33431827
       2.1603978      0.33582696
       2.1606982      0.33292306
       2.1609983      0.32791243
       2.1612988      0.32804948
       2.1615992      0.33164074
       2.1618993      0.33347510
       2.1621995      0.33222281
       2.1624999      0.32979507
       2.1628003      0.32909942
       2.1631005      0.32234629
       2.1634009      0.30291306
       2.1637011      0.30806097
       2.1640015      0.32475149
       2.1643016      0.32863800
       2.1646020      0.32909514
       2.1649022      0.32925543
       2.1652026      0.32986814
       2.1655030      0.33006547
       2.1658032      0.33030532
       2.1661036      0.33053147
       2.1664038      0.32975602
       2.1667042      0.32703902
       2.1670043      0.32599701
       2.1673048      0.32978954
       2.1676049      0.33291330
       2.1679053      0.33333690
       2.1682057      0.33234392
       2.1685059      0.32298013
       2.1688063      0.31969545
       2.1691065      0.33101829
       2.1694069      0.33440646
       2.1697071      0.33414788
       2.1700075      0.33315429
       2.1703076      0.33117336
       2.1706080      0.33139836
       2.1709082      0.33170258
       2.1712086      0.33103948
       2.1715090      0.33038478
       2.1718092      0.32955353
       2.1721096      0.32790988
       2.1724098      0.32137883
       2.1727102      0.31580435
       2.1730103      0.32011231
       2.1733108      0.32409313
       2.1736112      0.32427593
       2.1739113      0.32315316
       2.1742117      0.32176966
       2.1745119      0.31727462
       2.1748123      0.32182102
       2.1751125      0.32616095
       2.1754129      0.32718931
       2.1757131      0.32799841
       2.1760135      0.32450646
       2.1763136      0.32044061
       2.1766140      0.32674613
       2.1769142      0.33148692
       2.1772146      0.33258034
       2.1775150      0.33303781
       2.1778152      0.33273293
       2.1781156      0.32883259
       2.1784158      0.32117151
       2.1787162      0.32492979
       2.1790164      0.32749698
       2.1793168      0.32280063
       2.1796169      0.32680009
       2.1799173      0.33138152
       2.1802177      0.33262164
       2.1805179      0.33266838
       2.1808183      0.33264310
       2.1811185      0.33264818
       2.1814189      0.33266371
       2.1817191      0.33254896
       2.1820195      0.33238538
       2.1823196      0.33182445
       2.1826200      0.32964451
       2.1829205      0.32443884
       2.1832206      0.30933168
       2.1835208      0.30789156
       2.1838212      0.32102273
       2.1841216      0.32230599
       2.1844218      0.32153576
       2.1847222      0.30691743
       2.1850224      0.30128807
       2.1853228      0.31887411
       2.1856229      0.32658073
       2.1859233      0.32812470
       2.1862237      0.32823142
       2.1865239      0.32772592
       2.1868243      0.32521522
       2.1871245      0.32179693
       2.1874249      0.32226342
       2.1877251      0.32020102
       2.1880255      0.31937845
       2.1883256      0.31985159
       2.1886261      0.32478698
       2.1889262      0.32689124
       2.1892266      0.32646241
       2.1895270      0.32383424
       2.1898272      0.32429879
       2.1901276      0.32466100
       2.1904278      0.31927133
       2.1907282      0.32070871
       2.1910284      0.32619984
       2.1913288      0.32749957
       2.1916289      0.32757504
       2.1919293      0.32732536
       2.1922297      0.32668752
       2.1925299      0.32583138
       2.1928303      0.32497074
       2.1931305      0.32412851
       2.1934309      0.32326304
       2.1937311      0.32233613
       2.1940315      0.32095881
       2.1943316      0.31623318
       2.1946321      0.30691480
       2.1949325      0.30300230
       2.1952326      0.30848750
       2.1955328      0.31531106
       2.1958332      0.31605489
       2.1961336      0.31437533
       2.1964338      0.31170766
       2.1967342      0.31089252
       2.1970344      0.31352595
       2.1973348      0.31438410
       2.1976349      0.31422296
       2.1979353      0.30802120
       2.1982355      0.29208047
       2.1985359      0.29720899
       2.1988363      0.30854707
       2.1991365      0.30696465
       2.1994369      0.30038455
       2.1997371      0.29475442
       2.2000375      0.28596914
       2.2003376      0.28202059
       2.2006381      0.29187833
       2.2009382      0.30947545
       2.2012386      0.31620698
       2.2015390      0.31363615
       2.2018392      0.31053930
       2.2021396      0.30879135
       2.2024398      0.30911556
       2.2027402      0.31184765
       2.2030404      0.31500098
       2.2033408      0.31796026
       2.2036409      0.31975832
       2.2039413      0.31691216
       2.2042415      0.31623494
       2.2045419      0.31200654
       2.2048423      0.29982776
       2.2051425      0.30583423
       2.2054429      0.31754723
       2.2057431      0.32089851
       2.2060435      0.32170142
       2.2063437      0.32194132
       2.2066441      0.31874626
       2.2069445      0.31820308
       2.2072446      0.31926100
       2.2075450      0.31820578
       2.2078452      0.31973496
       2.2081456      0.32126609
       2.2084458      0.32135006
       2.2087462      0.32098088
       2.2090464      0.32051329
       2.2093468      0.32010232
       2.2096469      0.32008710
       2.2099473      0.31946601
       2.2102475      0.31750752
       2.2105479      0.31737763
       2.2108481      0.31774238
