# wavelength[Angstrom] f_lambda[erg/cm^2/s/Angstrom]
# AB magnitudes will be: J ~ 0.90, H ~  1.37, K_s ~ 1.84
1400.71 5.481788e-09
1402.11 5.570652e-09
1403.52 5.959432e-09
1404.92 6.154615e-09
1406.33 6.041154e-09
1407.74 5.837244e-09
1409.15 5.512732e-09
1410.57 5.218371e-09
1411.98 5.376263e-09
1413.40 5.374676e-09
1414.81 5.022394e-09
1416.23 5.146962e-09
1417.65 5.369122e-09
1419.07 5.505591e-09
1420.50 5.640474e-09
1421.92 5.834070e-09
1423.35 5.655549e-09
1424.77 5.508765e-09
1426.20 5.991962e-09
1427.63 6.098281e-09
1429.06 5.884849e-09
1430.49 5.259629e-09
1431.93 4.479690e-09
1433.36 4.497938e-09
1434.80 5.066826e-09
1436.24 5.733305e-09
1437.68 6.062577e-09
1439.12 6.071305e-09
1440.56 6.087173e-09
1442.01 5.938009e-09
1443.45 6.013384e-09
1444.90 6.282356e-09
1446.35 6.402957e-09
1447.80 6.322821e-09
1449.25 6.460084e-09
1450.70 6.552122e-09
1452.16 6.553708e-09
1453.61 6.502929e-09
1455.07 6.375981e-09
1456.53 6.454530e-09
1457.99 6.579098e-09
1459.45 6.612422e-09
1460.91 6.397403e-09
1462.38 6.021319e-09
1463.84 6.060197e-09
1465.31 6.146680e-09
1466.78 5.506385e-09
1468.25 5.252488e-09
1469.72 5.582554e-09
1471.20 5.799159e-09
1472.67 5.713469e-09
1474.15 5.412760e-09
1475.63 5.554784e-09
1477.10 5.822169e-09
1478.59 6.090347e-09
1480.07 6.092727e-09
1481.55 5.615878e-09
1483.04 5.504798e-09
1484.52 5.723784e-09
1486.01 6.150648e-09
1487.50 6.619563e-09
1488.99 6.843309e-09
1490.49 6.701286e-09
1491.98 5.977680e-09
1493.48 5.629366e-09
1494.97 6.230783e-09
1496.47 6.923445e-09
1497.97 7.174962e-09
1499.47 7.041666e-09
1500.98 6.877427e-09
1502.48 7.024211e-09
1503.99 7.206699e-09
1505.50 7.019450e-09
1507.00 6.589413e-09
1508.52 6.114150e-09
1510.03 5.941976e-09
1511.54 5.941183e-09
1513.06 6.095901e-09
1514.57 6.156201e-09
1516.09 6.441835e-09
1517.61 7.004375e-09
1519.13 7.039286e-09
1520.66 6.905990e-09
1522.18 6.906784e-09
1523.71 6.763173e-09
1525.23 5.914206e-09
1526.76 5.150929e-09
1528.29 6.030840e-09
1529.83 6.728262e-09
1531.36 6.203014e-09
1532.89 5.059685e-09
1534.43 5.284225e-09
1535.97 6.007037e-09
1537.51 6.283150e-09
1539.05 6.495788e-09
1540.59 6.425173e-09
1542.14 6.299812e-09
1543.68 6.371220e-09
1545.23 6.199840e-09
1546.78 6.181591e-09
1548.33 6.325201e-09
1549.88 6.398197e-09
1551.44 5.991168e-09
1552.99 5.460366e-09
1554.55 5.147756e-09
1556.11 5.245347e-09
1557.67 5.319136e-09
1559.23 4.152005e-09
1560.79 2.888868e-09
1562.36 3.337155e-09
1563.92 4.694709e-09
1565.49 5.649995e-09
1567.06 5.699981e-09
1568.63 5.850732e-09
1570.20 6.044328e-09
1571.78 5.820582e-09
1573.35 5.034295e-09
1574.93 5.051751e-09
1576.51 5.808680e-09
1578.09 6.207774e-09
1579.67 6.352178e-09
1581.26 6.479920e-09
1582.84 6.761586e-09
1584.43 6.414859e-09
1586.02 6.104629e-09
1587.61 6.235544e-09
1589.20 6.433901e-09
1590.79 6.527525e-09
1592.39 6.625910e-09
1593.98 6.641779e-09
1595.58 6.759206e-09
1597.18 7.163060e-09
1598.78 7.118628e-09
1600.38 6.635431e-09
1601.99 6.525938e-09
1603.59 6.722709e-09
1605.20 6.594173e-09
1606.81 6.397403e-09
1608.42 6.322028e-09
1610.03 6.323615e-09
1611.65 6.175244e-09
1613.26 6.076065e-09
1614.88 6.350591e-09
1616.50 6.506103e-09
1618.12 6.348211e-09
1619.74 6.034014e-09
1621.37 5.726164e-09
1622.99 5.594455e-09
1624.62 5.718229e-09
1626.25 5.835657e-09
1627.88 5.873741e-09
1629.51 5.378643e-09
1631.14 5.219164e-09
1632.78 5.365948e-09
1634.42 5.743619e-09
1636.05 6.153821e-09
1637.69 6.307746e-09
1639.34 6.084793e-09
1640.98 6.079239e-09
1642.63 6.259347e-09
1644.27 6.502136e-09
1645.92 6.671136e-09
1647.57 6.572751e-09
1649.22 6.245065e-09
1650.88 6.283150e-09
1652.53 6.307746e-09
1654.19 5.526220e-09
1655.85 4.168666e-09
1657.51 3.469657e-09
1659.17 4.824037e-09
1660.83 5.961018e-09
1662.50 6.041948e-09
1664.16 6.187939e-09
1665.83 6.442629e-09
1667.50 6.191906e-09
1669.17 5.301680e-09
1670.85 4.560619e-09
1672.52 5.103324e-09
1674.20 5.440530e-09
1675.88 5.796779e-09
1677.56 6.143507e-09
1679.24 6.253793e-09
1680.92 6.584652e-09
1682.61 6.693352e-09
1684.29 6.540220e-09
1685.98 6.187939e-09
1687.67 6.084000e-09
1689.36 6.215708e-09
1691.06 6.142713e-09
1692.75 5.950704e-09
1694.45 5.741239e-09
1696.15 5.528601e-09
1697.85 5.638887e-09
1699.55 5.831690e-09
1701.25 5.729337e-09
1702.96 5.811854e-09
1704.67 5.986408e-09
1706.38 5.791225e-09
1708.09 5.525427e-09
1709.80 5.611910e-09
1711.51 5.732511e-09
1713.23 5.725370e-09
1714.95 5.693634e-09
1716.67 5.599215e-09
1718.39 5.450051e-09
1720.11 5.386577e-09
1721.83 5.688873e-09
1723.56 5.810267e-09
1725.29 5.394512e-09
1727.02 5.457192e-09
1728.75 5.949910e-09
1730.48 5.931661e-09
1732.22 5.887229e-09
1733.95 5.909445e-09
1735.69 5.948324e-09
1737.43 6.027666e-09
1739.17 6.112563e-09
1740.92 5.864220e-09
1742.66 5.688079e-09
1744.41 5.907859e-09
1746.16 6.007037e-09
1747.91 5.915793e-09
1749.66 5.989582e-09
1751.41 6.046708e-09
1753.17 6.238718e-09
1754.93 6.514830e-09
1756.69 6.461671e-09
1758.45 6.103835e-09
1760.21 5.721403e-09
1761.98 5.619051e-09
1763.74 5.375469e-09
1765.51 5.212816e-09
1767.28 5.528601e-09
1769.05 5.682526e-09
1770.83 5.699981e-09
1772.60 5.904685e-09
1774.38 6.118910e-09
1776.16 6.090347e-09
1777.94 6.181591e-09
1779.72 6.287910e-09
1781.50 6.181591e-09
1783.29 6.147474e-09
1785.08 5.932455e-09
1786.87 5.699981e-09
1788.66 5.993549e-09
1790.45 6.484680e-09
1792.25 6.607662e-09
1794.04 6.513244e-09
1795.84 6.406924e-09
1797.64 6.329169e-09
1799.44 6.495788e-09
1801.25 6.625910e-09
1803.05 6.432314e-09
1804.86 6.147474e-09
1806.67 5.909445e-09
1808.48 5.807093e-09
1810.29 6.105422e-09
1812.11 6.273629e-09
1813.93 6.169690e-09
1815.74 5.927694e-09
1817.56 5.834863e-09
1819.39 5.909445e-09
1821.21 5.930075e-09
1823.04 5.920553e-09
1824.86 5.861840e-09
1826.69 5.815028e-09
1828.52 5.734892e-09
1830.36 5.559544e-09
1832.19 5.521460e-09
1834.03 5.822169e-09
1835.87 5.912619e-09
1837.71 5.777737e-09
1839.55 5.403239e-09
1841.40 5.059685e-09
1843.24 5.165211e-09
1845.09 5.297713e-09
1846.94 5.227891e-09
1848.79 5.466713e-09
1850.64 5.554784e-09
1852.50 5.334211e-09
1854.36 5.456398e-09
1856.22 5.663483e-09
1858.08 5.516699e-09
1859.94 5.398479e-09
1861.80 5.501624e-09
1863.67 5.533361e-09
1865.54 5.588901e-09
1867.41 5.614291e-09
1869.28 5.561131e-09
1871.15 5.697601e-09
1873.03 5.814234e-09
1874.91 5.695220e-09
1876.79 5.594455e-09
1878.67 5.629366e-09
1880.55 5.565892e-09
1882.44 5.737272e-09
1884.32 5.845971e-09
1886.21 5.807887e-09
1888.10 5.681732e-09
1890.00 5.646028e-09
1891.89 5.728544e-09
1893.79 5.754727e-09
1895.69 5.705535e-09
1897.59 5.577793e-09
1899.49 5.406413e-09
1901.39 5.332624e-09
1903.30 5.413554e-09
1905.21 5.373882e-09
1907.12 5.373089e-09
1909.03 5.384990e-09
1910.94 5.425455e-09
1912.86 5.642061e-09
1914.78 5.673004e-09
1916.70 5.657136e-09
1918.62 5.703948e-09
1920.54 5.792812e-09
1922.47 5.790432e-09
1924.39 5.697601e-09
1926.32 5.455605e-09
1928.26 5.391338e-09
1930.19 5.246934e-09
1932.12 5.381023e-09
1934.06 5.619051e-09
1936.00 5.530187e-09
1937.94 5.535741e-09
1939.88 5.689666e-09
1941.83 5.849145e-09
1943.77 5.934835e-09
1945.72 5.847558e-09
1947.67 5.639680e-09
1949.63 5.509558e-09
1951.58 5.564305e-09
1953.54 5.631746e-09
1955.50 5.722197e-09
1957.46 5.820582e-09
1959.42 5.912619e-09
1961.38 5.965779e-09
1963.35 5.906272e-09
1965.32 5.809474e-09
1967.29 5.715056e-09
1969.26 5.660310e-09
1971.23 5.799159e-09
1973.21 5.863427e-09
1975.19 5.719817e-09
1977.17 5.619845e-09
1979.15 5.477821e-09
1981.13 5.557957e-09
1983.12 5.574619e-09
1985.11 5.557957e-09
1987.10 5.612704e-09
1989.09 5.490516e-09
1991.08 5.334211e-09
1993.08 5.370708e-09
1995.08 5.466713e-09
1997.08 5.538915e-09
1999.08 5.373882e-09
2001.08 5.387371e-09
2003.09 5.425455e-09
2005.10 5.261215e-09
2007.11 5.143789e-09
2009.12 5.151723e-09
2011.14 5.093009e-09
2013.15 5.077140e-09
2015.17 5.168384e-09
2017.19 5.198535e-09
2019.21 5.203296e-09
2021.24 5.058098e-09
2023.26 5.000178e-09
2025.29 5.072380e-09
2027.32 5.186633e-09
2029.35 5.312788e-09
2031.39 5.282638e-09
2033.42 5.090629e-09
2035.46 5.090629e-09
2037.50 5.116812e-09
2039.55 5.119985e-09
2041.59 5.218371e-09
2043.64 5.450051e-09
2045.69 5.587314e-09
2047.74 5.607943e-09
2049.79 5.576206e-09
2051.85 5.515112e-09
2053.90 5.298507e-09
2055.96 5.111258e-09
2058.02 5.167591e-09
2060.09 5.222338e-09
2062.15 5.099356e-09
2064.22 5.035882e-09
2066.29 4.989070e-09
2068.36 5.027155e-09
2070.43 5.214403e-09
2072.51 5.257248e-09
2074.59 5.292159e-09
2076.67 5.403239e-09
2078.75 5.412760e-09
2080.83 5.379436e-09
2082.92 5.381023e-09
2085.01 5.332624e-09
2087.10 5.369915e-09
2089.19 5.368328e-09
2091.28 5.289779e-09
2093.38 5.169972e-09
2095.48 5.075554e-09
2097.58 5.034295e-09
2099.68 5.069206e-09
2101.79 5.107291e-09
2103.89 5.192981e-09
2106.00 5.219957e-09
2108.11 4.947812e-09
2110.23 4.786746e-09
2112.34 4.821657e-09
2114.46 4.989070e-09
2116.58 5.227891e-09
2118.70 5.265183e-09
2120.83 5.252488e-09
2122.95 5.157276e-09
2125.08 5.040643e-09
2127.21 4.970028e-09
2129.34 4.843873e-09
2131.48 4.603464e-09
2133.61 4.308310e-09
2135.75 4.286094e-09
2137.89 4.556652e-09
2140.04 4.635202e-09
2142.18 4.812136e-09
2144.33 5.009699e-09
2146.48 4.993037e-09
2148.63 4.914488e-09
2150.79 4.855774e-09
2152.94 4.945432e-09
2155.10 5.062065e-09
2157.26 4.980342e-09
2159.42 4.765324e-09
2161.59 4.718511e-09
2163.76 4.771671e-09
2165.92 4.693122e-09
2168.10 4.572521e-09
2170.27 4.568554e-09
2172.45 4.586802e-09
2174.62 4.449539e-09
2176.80 4.442399e-09
2178.99 4.616953e-09
2181.17 4.804201e-09
2183.36 4.845460e-09
2185.55 4.655037e-09
2187.74 4.528089e-09
2189.93 4.631235e-09
2192.13 4.709784e-09
2194.32 4.854981e-09
2196.52 5.015253e-09
2198.72 4.974788e-09
2200.93 4.848633e-09
2203.14 4.835145e-09
2205.34 4.716131e-09
2207.55 4.505079e-09
2209.77 4.351948e-09
2211.98 4.277366e-09
2214.20 4.322591e-09
2216.42 4.361469e-09
2218.64 4.404314e-09
2220.87 4.407488e-09
2223.09 4.345601e-09
2225.32 4.259911e-09
2227.55 4.312277e-09
2229.79 4.503493e-09
2232.02 4.628854e-09
2234.26 4.735173e-09
2236.50 4.771671e-09
2238.74 4.667732e-09
2240.98 4.476516e-09
2243.23 4.271019e-09
